frame,x,y,z
0,1.858071208000183,0.17011022567749023,10.975903511047363
1,1.8747968673706055,0.08507218956947327,10.840560913085938
2,1.451433777809143,-0.1508166342973709,10.476301193237305
3,1.4695876836776733,0.04560880362987518,10.558286666870117
4,1.711804747581482,-0.33933547139167786,10.940515518188477
5,1.605566143989563,0.12262153625488281,11.049478530883789
6,2.0274858474731445,0.13904428482055664,10.964866638183594
7,1.7937870025634766,-0.08906784653663635,11.028831481933594
8,1.5605716705322266,-0.18966613709926605,11.188362121582031
9,2.016404151916504,0.3748317360877991,10.902040481567383
10,1.7244107723236084,0.2755371034145355,10.764596939086914
11,1.6696183681488037,-0.015812715515494347,10.888200759887695
12,1.5873395204544067,0.01788295991718769,10.923892974853516
13,1.5989460945129395,0.08030596375465393,10.84516429901123
14,1.7104957103729248,-0.24050696194171906,10.480709075927734
15,1.7596935033798218,0.15096358954906464,10.16347885131836
16,2.0266265869140625,0.286898136138916,10.921844482421875
17,1.9885990619659424,0.5706612467765808,10.687314987182617
18,1.9389920234680176,-0.10649029910564423,10.706926345825195
19,1.7722307443618774,0.2888282537460327,10.82016372680664
20,1.4355826377868652,0.18196696043014526,10.568775177001953
21,1.6780401468276978,-0.11797290295362473,10.703047752380371
22,1.8127520084381104,0.03197977691888809,10.83042049407959
23,1.7337989807128906,0.07656162232160568,10.647512435913086
24,1.701478362083435,0.24082395434379578,11.017022132873535
25,1.8779815435409546,-0.24737781286239624,10.771876335144043
26,1.7792932987213135,0.12570764124393463,10.667523384094238
27,1.742905855178833,0.06088194251060486,10.807785034179688
28,1.7772636413574219,-0.1496342569589615,10.868271827697754
29,2.138892889022827,-0.18690019845962524,10.901459693908691
30,1.9372104406356812,0.15461254119873047,11.143564224243164
31,2.3192689418792725,-0.03053874522447586,10.52294921875
32,2.0615129470825195,-0.017370251938700676,10.631937026977539
33,2.064973831176758,0.025790706276893616,11.109861373901367
34,1.5015472173690796,0.18954133987426758,10.766621589660645
35,1.5369200706481934,0.546959638595581,10.962772369384766
36,1.6625027656555176,0.5969863533973694,11.27847671508789
37,2.1036159992218018,0.16554659605026245,11.572242736816406
38,1.8130766153335571,-0.015246633440256119,11.015218734741211
39,2.1787517070770264,0.0742129310965538,11.385050773620605
40,2.3272817134857178,0.3764810860157013,11.353601455688477
41,1.9496828317642212,-0.5129685401916504,11.620007514953613
42,2.4093422889709473,-0.39975064992904663,11.586915016174316
43,2.074558734893799,-0.5842138528823853,11.306955337524414
44,2.089022159576416,-0.3070666491985321,11.078909873962402
45,1.8571068048477173,-0.130876824259758,10.812555313110352
46,2.0006601810455322,-0.4484080970287323,11.06212043762207
47,1.8882023096084595,-0.019489817321300507,11.227359771728516
48,1.836280107498169,-0.3667258620262146,10.863531112670898
49,2.2448842525482178,-0.3002150058746338,11.165200233459473
50,1.894534945487976,-0.3346565365791321,11.16707706451416
51,2.070713996887207,-0.22611267864704132,10.907180786132812
52,1.7818949222564697,-0.13373492658138275,11.138036727905273
53,1.6811178922653198,-0.03264766186475754,10.816908836364746
54,1.8434654474258423,0.026874227449297905,10.78051471710205
55,1.6092561483383179,0.03370486572384834,10.625017166137695
56,1.711787462234497,0.13833612203598022,10.957733154296875
57,1.736523985862732,0.021035606041550636,11.27029800415039
58,1.7668132781982422,0.033937133848667145,11.12043285369873
59,1.5235919952392578,-0.15258610248565674,10.968435287475586
60,1.8558523654937744,-0.04650077968835831,10.730607986450195
61,1.670365571975708,0.06151747703552246,11.097636222839355
62,1.739405870437622,-0.29329752922058105,10.762275695800781
63,1.9059312343597412,-0.21392014622688293,10.906917572021484
64,1.7262579202651978,-0.05872224271297455,11.463589668273926
65,1.9636331796646118,-0.2723272144794464,11.194040298461914
66,2.047322988510132,0.05689624324440956,11.520147323608398
67,1.8621299266815186,0.2033155858516693,11.217546463012695
68,1.983405590057373,-0.19479966163635254,11.405838012695312
69,1.5938209295272827,-0.33056747913360596,11.1930513381958
70,2.0178346633911133,-0.17643088102340698,11.064366340637207
71,1.842337727546692,-0.34016287326812744,10.531560897827148
72,1.9283692836761475,0.06901039928197861,10.972888946533203
73,1.7550541162490845,0.09724285453557968,10.944330215454102
74,1.6247676610946655,-0.1565714031457901,11.34164810180664
75,1.7748719453811646,-0.16610033810138702,11.388286590576172
76,1.7222790718078613,0.12230025231838226,10.92182731628418
77,1.6881953477859497,-0.12918271124362946,10.839618682861328
78,1.6425203084945679,-0.0775100365281105,10.985431671142578
79,1.6089909076690674,0.2506089210510254,11.599020004272461
80,1.7046051025390625,0.05760248750448227,11.090069770812988
81,1.6602764129638672,-0.1312883347272873,10.955791473388672
82,1.8080788850784302,-0.15963250398635864,11.084016799926758
83,1.92995285987854,-0.013610024005174637,10.947495460510254
84,1.9313523769378662,0.4423120319843292,11.112757682800293
85,2.0019335746765137,-0.11410446465015411,11.19581127166748
86,1.9963120222091675,0.0385579951107502,11.625198364257812
87,1.979136347770691,-0.36033880710601807,11.46617317199707
88,2.2525157928466797,-0.06050918623805046,11.333413124084473
89,2.0304465293884277,-0.16927412152290344,10.754535675048828
90,1.37308669090271,-0.043054766952991486,11.694613456726074
91,1.818605899810791,-0.0919911190867424,10.917749404907227
92,1.6731936931610107,0.008966232649981976,11.240476608276367
93,1.9782180786132812,0.3149413466453552,11.274412155151367
94,1.82669997215271,-0.16738802194595337,10.992745399475098
95,2.00313138961792,-0.20220324397087097,11.028780937194824
96,1.9764208793640137,0.030704744160175323,10.999347686767578
97,1.820851445198059,0.09550665318965912,11.047263145446777
98,1.941168189048767,-0.3144812285900116,10.737754821777344
99,1.6400399208068848,-0.3256760835647583,11.196961402893066
100,1.4696705341339111,-0.12011441588401794,10.919570922851562
101,2.000430107116699,-0.13981559872627258,10.608602523803711
102,1.7509822845458984,-0.026915038004517555,10.981167793273926
103,2.131767511367798,-0.035134922713041306,10.826464653015137
104,1.989145278930664,-0.581933856010437,11.015740394592285
105,1.8323795795440674,-0.4792514443397522,10.96939468383789
106,1.7610211372375488,-0.2709007263183594,11.093059539794922
107,1.9822896718978882,-0.18100744485855103,11.270502090454102
108,2.196540594100952,-0.3440016210079193,11.038562774658203
109,1.9296640157699585,-0.05710247531533241,11.49748706817627
110,1.6765308380126953,-0.3601076602935791,11.003435134887695
111,1.6766815185546875,-0.5855715274810791,10.632548332214355
112,1.6914124488830566,-0.35594794154167175,10.588581085205078
113,2.0048162937164307,-0.7342373132705688,10.81758975982666
