time,x,y,z,vx,vy,vz,fx,fy,fz,kinetic_energy,displacement
0.03300000156741589,1.5302243e-05,1.5812439e-05,-14.983516,0.00087333465,0.00089185394,0.49906167,0.9699559,0.9296076,-1.3000176,4.869203,0.016484275
0.034000001614913344,1.6214448e-05,1.6744521e-05,-14.983017,0.0008992492,0.00091867294,0.499029,1.0132599,1.0486223,-1.277106,4.8685675,0.016983049
0.035000001662410796,1.7158172e-05,1.770361e-05,-14.982518,0.0009288998,0.0009456172,0.4989986,1.1593381,1.0535202,-1.1887639,4.8679767,0.01748182
0.03600000170990825,1.8126519e-05,1.8689452e-05,-14.982019,0.0009551971,0.00097243313,0.4989732,1.0282251,1.048502,-0.9941141,4.8674827,0.017980594
0.0370000017574057,1.9124896e-05,1.9699513e-05,-14.981521,0.000983985,0.0009975184,0.49894866,1.1256078,0.98083663,-0.9588104,4.8670063,0.018479368
0.03800000180490315,2.0145832e-05,2.0737036e-05,-14.981022,0.0010086193,0.0010241867,0.49891698,0.9631987,1.0427297,-1.2381607,4.86639,0.018978141
0.0390000018524006,2.1194179e-05,2.1797438e-05,-14.980523,0.0010351046,0.00104833,0.49888614,1.0355732,0.944001,-1.206145,4.8657904,0.019476915
0.04000000189989805,2.2269189e-05,2.2890104e-05,-14.980024,0.0010617081,0.0010778869,0.498857,1.040194,1.1556743,-1.139644,4.8652244,0.019975688
0.041000001947395504,2.3374298e-05,2.401378e-05,-14.979526,0.0010906426,0.0011084115,0.4988262,1.1313434,1.1935096,-1.2038739,4.864626,0.020474462
0.042000001994892955,2.4498255e-05,2.5164476e-05,-14.979027,0.001112853,0.0011366012,0.49879947,0.8684247,1.102218,-1.0454483,4.864107,0.020973235
0.043000002042390406,2.5654097e-05,2.6338284e-05,-14.978528,0.001141512,0.0011614059,0.49877188,1.1205668,0.969866,-1.0793777,4.863571,0.021472009
0.04400000208988786,2.6836653e-05,2.7544329e-05,-14.978029,0.0011688744,0.0011911651,0.49874073,1.0698725,1.1635813,-1.2179573,4.8629665,0.021970782
0.04500000213738531,2.804682e-05,2.8774919e-05,-14.9775305,0.0011964022,0.0012174486,0.4987152,1.0763379,1.0276867,-0.99861676,4.862471,0.022469556
0.04600000218488276,2.9282122e-05,3.0031559e-05,-14.977032,0.0012223361,0.0012435764,0.49868444,1.0140146,1.0215944,-1.202736,4.8618736,0.02296833
0.04700000223238021,3.0543648e-05,3.131619e-05,-14.976533,0.001248462,0.0012709475,0.4986535,1.0215232,1.0702116,-1.2090039,4.8612733,0.023467105
0.04800000227987766,3.183164e-05,3.2632484e-05,-14.976034,0.0012748159,0.0013011788,0.49862665,1.0304341,1.1820421,-1.0504797,4.8607526,0.02396588
0.049000002327375114,3.3142238e-05,3.397303e-05,-14.975535,0.0012986696,0.0013274221,0.49859276,0.9326825,1.0261134,-1.3245407,4.8600945,0.024464654
0.050000002374872565,3.448107e-05,3.534255e-05,-14.975037,0.0013254425,0.0013554879,0.49856582,1.0468167,1.0973709,-1.0537964,4.859572,0.024963427
0.05100000242237002,3.584574e-05,3.6742742e-05,-14.974538,0.0013515948,0.0013852916,0.49853402,1.0225574,1.1653235,-1.243594,4.858955,0.025462203
0.05200000246986747,3.724085e-05,3.8174094e-05,-14.974039,0.0013806041,0.0014159983,0.49850318,1.1342638,1.2006358,-1.2060046,4.858357,0.025960978
0.05300000251736492,3.8661783e-05,3.9634637e-05,-14.97354,0.00140749,0.001445695,0.4984736,1.0512367,1.1611394,-1.155606,4.857784,0.026459752
0.05400000256486237,4.0110594e-05,4.112424e-05,-14.973042,0.0014350356,0.0014749677,0.49844724,1.0770324,1.1445642,-1.0307397,4.857273,0.026958527
0.05500000261235982,4.1582996e-05,4.2641142e-05,-14.972543,0.001459948,0.0015029251,0.49841973,0.9740748,1.0931313,-1.0752743,4.8567405,0.027457302
0.05600000265985727,4.308194e-05,4.418779e-05,-14.972044,0.001485944,0.0015320713,0.49839354,1.0164427,1.1396157,-1.0247785,4.856233,0.027956076
0.057000002707354724,4.4609093e-05,4.575804e-05,-14.971545,0.0015134191,0.0015575234,0.49836773,1.0742755,0.9951769,-1.0094182,4.8557334,0.028454853
0.058000002754852176,4.6161014e-05,4.736183e-05,-14.971046,0.0015390856,0.0015883693,0.498337,1.0035639,1.2060739,-1.2009466,4.855138,0.028953627
0.05900000280234963,4.7740064e-05,4.8992304e-05,-14.970548,0.001565729,0.0016164371,0.49831167,1.0417577,1.0974526,-0.9907373,4.8546476,0.029452402
0.06000000284984708,4.9344693e-05,5.0646206e-05,-14.97005,0.0015916631,0.0016414118,0.49828202,1.0140209,0.9765117,-1.1591011,4.854073,0.029950226
0.06100000289734453,5.097426e-05,5.233459e-05,-14.969552,0.0016169338,0.001672727,0.4982587,0.9880849,1.2244285,-0.91109496,4.8536224,0.030448047
0.06200000294484198,5.2627965e-05,5.4046923e-05,-14.969054,0.0016414481,0.001699129,0.49822694,0.9585079,1.0323181,-1.242612,4.8530073,0.03094587
0.06300000299233943,5.430282e-05,5.578687e-05,-14.968556,0.0016637187,0.0017263399,0.49819785,0.8707804,1.0639458,-1.1373837,4.8524437,0.031443693
0.06400000303983688,5.600716e-05,5.755479e-05,-14.968059,0.0016907966,0.0017540583,0.49817118,1.0587461,1.0837893,-1.0433682,4.8519278,0.031941514
0.06500000308733433,5.7743542e-05,5.934684e-05,-14.967561,0.001721187,0.0017793876,0.49813908,1.1882645,0.99037755,-1.2545944,4.8513064,0.03243934
0.06600000313483179,5.9503145e-05,6.1167695e-05,-14.967063,0.0017467964,0.0018070323,0.4981098,1.0013273,1.0809069,-1.1450499,4.8507395,0.03293716
0.06700000318232924,6.129148e-05,6.301487e-05,-14.966565,0.0017744908,0.0018337937,0.49807668,1.0828525,1.0463737,-1.2942606,4.8500986,0.033434983
0.06800000322982669,6.311011e-05,6.488191e-05,-14.966067,0.0018039106,0.0018559573,0.49804294,1.1503121,0.8665986,-1.3192029,4.8494453,0.033932805
0.06900000327732414,6.4965185e-05,6.6783636e-05,-14.9655695,0.0018380216,0.0018864673,0.4980145,1.3337396,1.1929398,-1.1117679,4.8488965,0.03443063
0.07000000332482159,6.684062e-05,6.87119e-05,-14.965072,0.001862967,0.0019143339,0.4979873,0.9753691,1.089584,-1.0638593,4.84837,0.034928452
0.07100000337231904,6.873884e-05,7.066433e-05,-14.964574,0.0018864645,0.0019397322,0.49796,0.9187542,0.99307275,-1.0673897,4.847842,0.035426278
0.0720000034198165,7.0665934e-05,7.264307e-05,-14.964076,0.0019135528,0.001965739,0.49793303,1.0591493,1.016863,-1.0542101,4.8473215,0.0359241
