frame,vx,vy,vz
0,0.08456363528966904,0.054169103503227234,0.0235214252024889
1,0.02094085142016411,-0.27577605843544006,-0.055054109543561935
2,0.16729696094989777,0.016025535762310028,-0.08857393264770508
3,-0.13664653897285461,0.0756257027387619,-0.04894539341330528
4,0.2242038995027542,-0.019087139517068863,-0.08503294736146927
5,0.048993855714797974,0.1756787896156311,0.0009395094821229577
6,-0.12496358901262283,-0.12965238094329834,0.004491976462304592
7,-0.06292684376239777,0.042822401970624924,0.16852623224258423
8,-0.1916263848543167,-0.09073811769485474,0.16815157234668732
9,0.028167998418211937,0.014841992408037186,-0.036065179854631424
10,-0.15841664373874664,0.2593081295490265,0.012189782224595547
11,0.03523212671279907,0.0438065305352211,-0.1592506319284439
12,0.024084314703941345,-0.10412351787090302,-0.07586289942264557
13,0.11905518174171448,-0.09939220547676086,0.14714346826076508
14,0.019119152799248695,-0.2224721610546112,-0.059262715280056
15,-0.16590189933776855,0.049378469586372375,0.0004263966984581202
16,-0.09106838703155518,-0.02413162589073181,-0.012890448793768883
17,0.04410868138074875,0.0787496268749237,-0.04532340541481972
18,0.037089355289936066,-0.032323192805051804,-0.0029226168990135193
19,-0.15233513712882996,0.0357811413705349,-0.006232705898582935
20,-0.10654405504465103,0.10501087456941605,-0.2800772190093994
21,0.04998551309108734,0.06258053332567215,-0.24556365609169006
22,0.12781637907028198,0.006073751021176577,0.12632940709590912
23,-0.1935776174068451,-0.2235688418149948,0.11520346999168396
24,0.14246003329753876,0.025072380900382996,0.18514862656593323
25,0.1741904318332672,-0.08339375257492065,-0.14034272730350494
26,-0.012230345979332924,0.08738914132118225,-0.3628309965133667
27,0.13976961374282837,-0.005201956257224083,-0.18791988492012024
28,0.19472941756248474,-0.004191304091364145,0.012798361480236053
29,-0.010953707620501518,0.2393849492073059,0.19865000247955322
30,-0.21990418434143066,-0.1941899061203003,0.01215303223580122
31,0.07437964528799057,0.0035010413266718388,-0.003635516855865717
32,-0.07741125673055649,-0.09556844085454941,-0.0980876013636589
33,-0.06436004489660263,-0.2453799545764923,-0.23241114616394043
34,0.17788298428058624,0.05835696682333946,0.2787555754184723
35,0.015395176596939564,-0.259685754776001,0.2341245710849762
36,0.07009268552064896,0.03981707617640495,0.18262147903442383
37,0.05933422967791557,-0.052387043833732605,0.028620578348636627
38,-0.15401318669319153,0.07183510810136795,0.01878276653587818
39,0.019306696951389313,-0.014266547746956348,-0.08502563834190369
40,-0.003256378695368767,-0.1158580482006073,0.04287225753068924
41,-0.11535442620515823,0.0357145294547081,-0.11548764258623123
42,-0.06632162630558014,0.13376227021217346,0.007184668909758329
43,-0.08332281559705734,0.19319456815719604,-0.12499125301837921
44,0.14211821556091309,0.00187200796790421,0.03474665805697441
45,0.13624128699302673,0.09598793089389801,0.03613315895199776
46,0.18972499668598175,0.05754993110895157,-0.06502088159322739
47,0.01572764664888382,0.08262715488672256,0.11986179649829865
48,-0.0182610172778368,-0.019496958702802658,0.21546609699726105
49,0.14665745198726654,0.04407692328095436,-0.06299661844968796
50,0.08485633134841919,-0.008780923672020435,-0.003792794654145837
51,-0.0798032358288765,0.2195913940668106,-0.05312388390302658
52,0.05571628361940384,0.09485234320163727,0.007619913667440414
53,0.016951335594058037,-0.25287196040153503,0.035209719091653824
54,0.10181222856044769,-0.002021449152380228,-0.07823970913887024
55,0.092037633061409,-0.03699620068073273,0.1387314796447754
56,-0.0057800766080617905,-0.26475852727890015,0.010698103345930576
57,-0.11804679036140442,-0.05682468041777611,-0.03749101608991623
58,-0.08135968446731567,0.05855219066143036,-0.024212373420596123
59,0.10173910111188889,-0.042095985263586044,0.11344044655561447
60,-0.0004765928315464407,0.012847053818404675,-0.13747723400592804
61,0.004226892255246639,0.04922720044851303,0.12744414806365967
62,-0.26549869775772095,-0.16606560349464417,0.1106683760881424
63,0.1118466928601265,-0.20262965559959412,-0.15637463331222534
64,-0.05684012174606323,-0.05515553802251816,0.010935020633041859
65,0.1321314573287964,-0.05642619729042053,-0.019269909709692
66,-0.07471110671758652,0.21935045719146729,-0.013436490669846535
67,-0.23549458384513855,0.05149015784263611,-0.045999135822057724
68,0.3845534324645996,0.08370201289653778,-0.030248090624809265
69,-0.1501341462135315,-0.0706486627459526,-0.09280354529619217
70,0.004324707668274641,0.12392014265060425,-0.0025529551785439253
71,0.09759090840816498,-0.07441014051437378,0.021050985902547836
72,-0.04944799467921257,0.11583607643842697,0.09849429130554199
73,0.10520173609256744,-0.2990384101867676,-0.08638663589954376
74,-0.09678584337234497,0.02159884199500084,0.13839182257652283
75,-0.04008416831493378,0.05167459696531296,0.008556884713470936
76,-0.15762506425380707,0.024945389479398727,0.102414570748806
77,-0.2466610223054886,0.03723260760307312,0.16379861533641815
78,0.046739909797906876,0.017608318477869034,-0.060353852808475494
79,-0.135299950838089,0.02614428475499153,-0.08901714533567429
80,0.28246739506721497,0.05343872308731079,-0.02378547564148903
81,-0.14953608810901642,-0.05170441418886185,0.013044999912381172
82,0.11006268858909607,0.0031484300270676613,0.22927157580852509
83,0.15700313448905945,-0.2050141990184784,-0.22479772567749023
84,0.13725726306438446,-0.06440842896699905,0.19789664447307587
85,0.1429475098848343,0.06585797667503357,0.034345660358667374
86,0.3311689496040344,0.05323130264878273,0.025926286354660988
87,0.04610113799571991,0.06127214431762695,-0.06323671340942383
88,-0.11654631048440933,-0.13395273685455322,-0.15192531049251556
89,-0.1048140674829483,0.2238316684961319,-0.26805317401885986
90,0.05564328283071518,-0.0177483931183815,0.07521851360797882
91,-0.03344299644231796,-0.12167240679264069,0.09245365858078003
92,-0.0710565596818924,0.03515659645199776,-0.02253405749797821
93,-0.2508191466331482,-0.07549882680177689,-0.062150467187166214
94,-0.03281765058636665,0.03472519293427467,-0.0575069859623909
95,0.08562964200973511,0.028555840253829956,0.07198097556829453
96,0.27016890048980713,0.125210702419281,0.10722345113754272
97,0.2066330909729004,-0.171637624502182,0.10609033703804016
98,0.32116350531578064,0.04471106827259064,-0.008241211995482445
99,0.06206134334206581,-0.025176741182804108,0.15297454595565796
100,-0.08662296831607819,-0.05416273698210716,0.008945201523602009
101,-0.05100918561220169,-0.04001350700855255,0.10953641682863235
102,0.048752494156360626,-0.09840318560600281,0.07757572829723358
103,0.17941437661647797,0.10041825473308563,-0.25575515627861023
104,0.09480670839548111,0.18673820793628693,-0.1979254186153412
105,0.13952675461769104,-0.03684272617101669,-0.11497541517019272
106,-0.012916088104248047,0.097511887550354,0.1275758147239685
107,0.04838285595178604,0.13121281564235687,0.14371050894260406
108,0.08448291569948196,0.10923713445663452,0.019973013550043106
109,-0.12669098377227783,0.14653803408145905,0.1259472817182541
110,0.06739363074302673,-0.09736503660678864,0.18167194724082947
111,-0.06558365374803543,-0.29376301169395447,0.04957876726984978
112,-0.020276086404919624,0.07845175266265869,0.1709098219871521
113,0.0044261375442147255,-0.17971260845661163,-0.006669552531093359
114,0.1607087105512619,-0.09370263665914536,-0.2280944436788559
115,-0.036491136997938156,-0.051988355815410614,-0.028684446588158607
116,-0.139080211520195,-0.04656938835978508,0.10683389008045197
117,0.03808058053255081,0.03786453977227211,-0.07609524577856064
118,0.1918363720178604,-0.032094355672597885,0.16008833050727844
119,0.16048169136047363,-0.17121119797229767,0.0597313828766346
120,0.06072563678026199,0.11628954857587814,-0.09803986549377441
121,-0.179181307554245,-0.14885282516479492,0.10902176797389984
122,-0.06712149828672409,-0.03728826716542244,0.1111568808555603
123,0.11359700560569763,0.176103413105011,-0.04169614985585213
