frame,x,y,z,vx,vy,vz,fx,fy,fz
0,1.858071208000183,0.17011022567749023,10.975903511047363,0.08456363528966904,0.054169103503227234,0.0235214252024889,3.2167277336120605,-0.8479535579681396,2.6460413932800293
1,1.8747968673706055,0.08507218956947327,10.840560913085938,0.02094085142016411,-0.27577605843544006,-0.055054109543561935,0.6194989085197449,-5.0313920974731445,-1.122012972831726
2,1.451433777809143,-0.1508166342973709,10.476301193237305,0.16729696094989777,0.016025535762310028,-0.08857393264770508,4.147856712341309,10.43730640411377,4.787142753601074
3,1.4695876836776733,0.04560880362987518,10.558286666870117,-0.13664653897285461,0.0756257027387619,-0.04894539341330528,0.5711053609848022,-8.552391052246094,-6.204039573669434
4,1.711804747581482,-0.33933547139167786,10.940515518188477,0.2242038995027542,-0.019087139517068863,-0.08503294736146927,4.48576021194458,-2.8693084716796875,-1.2994959354400635
5,1.605566143989563,0.12262153625488281,11.049478530883789,0.048993855714797974,0.1756787896156311,0.0009395094821229577,2.6126935482025146,5.160965919494629,7.406527996063232
6,2.0274858474731445,0.13904428482055664,10.964866638183594,-0.12496358901262283,-0.12965238094329834,0.004491976462304592,-6.564608573913574,4.897238254547119,1.3876855373382568
7,1.7937870025634766,-0.08906784653663635,11.028831481933594,-0.06292684376239777,0.042822401970624924,0.16852623224258423,2.1584761142730713,9.225000381469727,-19.481096267700195
8,1.5605716705322266,-0.18966613709926605,11.188362121582031,-0.1916263848543167,-0.09073811769485474,0.16815157234668732,3.837414264678955,3.9164953231811523,3.517490863800049
9,2.016404151916504,0.3748317360877991,10.902040481567383,0.028167998418211937,0.014841992408037186,-0.036065179854631424,-1.715372085571289,5.996844291687012,-9.814179420471191
10,1.7244107723236084,0.2755371034145355,10.764596939086914,-0.15841664373874664,0.2593081295490265,0.012189782224595547,3.203084945678711,0.38506579399108887,2.3873496055603027
11,1.6696183681488037,-0.015812715515494347,10.888200759887695,0.03523212671279907,0.0438065305352211,-0.1592506319284439,6.484897613525391,1.8693559169769287,-4.051210880279541
12,1.5873395204544067,0.01788295991718769,10.923892974853516,0.024084314703941345,-0.10412351787090302,-0.07586289942264557,-0.952732503414154,-5.914281845092773,0.4296589195728302
13,1.5989460945129395,0.08030596375465393,10.84516429901123,0.11905518174171448,-0.09939220547676086,0.14714346826076508,-3.2624411582946777,-5.496982574462891,-4.554344654083252
14,1.7104957103729248,-0.24050696194171906,10.480709075927734,0.019119152799248695,-0.2224721610546112,-0.059262715280056,0.2713843882083893,3.3705708980560303,3.500063180923462
15,1.7596935033798218,0.15096358954906464,10.16347885131836,-0.16590189933776855,0.049378469586372375,0.0004263966984581202,1.0874909162521362,10.333748817443848,6.6243977546691895
16,2.0266265869140625,0.286898136138916,10.921844482421875,-0.09106838703155518,-0.02413162589073181,-0.012890448793768883,-13.295499801635742,-3.7358250617980957,-3.091465950012207
